cusip,assets_nis_1000s,assets_usd,assets_usd_mn
1084656.0,724227.0,201341951.63,201.34
1096593.0,1238687.0,344366694.47,344.37
1104645.0,754408.0,209732554.91,209.73
1099506.0,56692.0,15760911.87,15.76
1113307.0,679685.0,188958854.6,188.96
1115740.0,34864.0,9692521.55,9.69
1114263.0,88591.0,24629135.39,24.63
1118769.0,174873.0,48616346.96,48.62
1125806.0,19602.0,5449541.28,5.45
1104603.0,555890.0,154542674.45,154.54
1109412.0,367816.0,102256324.72,102.26
1109420.0,1693349.0,470767028.08,470.77
1116326.0,1475070.0,410083402.84,410.08
1107945.0,130394.0,36250764.53,36.25
1109438.0,57949.0,16110369.75,16.11
1109446.0,527120.0,146544342.51,146.54
1109453.0,308304.0,85711426.19,85.71
1112853.0,20755.0,5770086.18,5.77
1112861.0,133364.0,37076452.6,37.08
1112879.0,235702.0,65527383.93,65.53
1118389.0,97927.0,27224631.64,27.22
1127752.0,338933.0,94226577.7,94.23
1127760.0,147273.0,40943286.07,40.94
1096635.0,206595.0,57435362.8,57.44
1107903.0,10016.0,2784542.67,2.78
1117399.0,1168294.0,324796775.09,324.8
1116060.0,681407.0,189437586.88,189.44
1118801.0,714710.0,198696135.67,198.7
1120195.0,302882.0,84204058.94,84.2
1120187.0,145933.0,40570753.41,40.57
1122795.0,59963.0,16670280.79,16.67
1107937.0,6977.0,1939671.95,1.94
1099522.0,25773.0,7165137.61,7.17
1104637.0,41558.0,11553516.82,11.55
1107895.0,9930.0,2760633.86,2.76
1123652.0,231904.0,64471504.03,64.47
1120203.0,342960.0,95346121.77,95.35
1099530.0,5699.0,1584375.87,1.58
1104629.0,36593.0,10173199.89,10.17
1117563.0,7707.0,2142618.85,2.14
1122779.0,4173.0,1160133.44,1.16
1122787.0,12999.0,3613844.87,3.61
1107911.0,11135.0,3095635.25,3.1
1107929.0,29907.0,8314428.69,8.31
1124098.0,37488.0,10422018.35,10.42
1125749.0,113804.0,31638587.71,31.64
1124106.0,76920.0,21384487.07,21.38
1096627.0,4484.0,1246594.38,1.25
1099555.0,4061.0,1128996.39,1.13
1096650.0,7712.0,2144008.9,2.14
1126242.0,102882.0,28602168.47,28.6
1126440.0,29092.0,8087850.99,8.09
1126465.0,5421.0,1507089.24,1.51
1124114.0,213506.0,59356686.13,59.36
1124122.0,70263.0,19533778.15,19.53
1115229.0,56857.0,15806783.43,15.81
1115237.0,23615.0,6565193.22,6.57
1116052.0,39262.0,10915207.12,10.92
1117381.0,6065.0,1686127.33,1.69
1117878.0,40798.0,11342229.64,11.34
1118371.0,2746.0,763413.96,0.76
1118397.0,2066.0,574367.53,0.57
1126457.0,15178.0,4219627.47,4.22
1124130.0,2043.0,567973.31,0.57
1126473.0,946.0,262996.94,0.26
1125798.0,4753.0,1321378.93,1.32
1129006.0,56081.0,15591048.1,15.59
1127950.0,49575.0,13782318.6,13.78
1128529.0,374110.0,104006116.21,104.01
1128495.0,611344.0,169959410.62,169.96
1128503.0,173674.0,48283013.62,48.28
1128511.0,93587.0,26018070.61,26.02
1129964.0,598032.0,166258548.79,166.26
1129972.0,189541.0,52694189.6,52.69
1130046.0,680184.0,189097581.32,189.1
1130004.0,98650.0,27425632.47,27.43
1130053.0,3172.0,881845.98,0.88
1130061.0,5166.0,1436196.83,1.44
1130079.0,5203.0,1446483.18,1.45
1130087.0,3304.0,918543.23,0.92
1131283.0,2760.0,767306.09,0.77
1131325.0,41584.0,11560745.07,11.56
1131333.0,25840.0,7183764.25,7.18
1131358.0,48113.0,13375868.78,13.38
1131374.0,72670.0,20202946.9,20.2
1131309.0,476367.0,132434528.77,132.43
1131317.0,2263.0,629135.39,0.63
1131341.0,30227.0,8403391.72,8.4
1131291.0,278315.0,77374200.72,77.37
1131366.0,27592.0,7670836.81,7.67
1131382.0,9693.0,2694745.62,2.69
1131978.0,53662.0,14918543.23,14.92
1131986.0,29681.0,8251598.55,8.25
1132109.0,69579.0,19343619.68,19.34
1132455.0,11064.0,3075896.58,3.08
1132463.0,8069.0,2243258.27,2.24
1132489.0,4870.0,1353906.03,1.35
1132497.0,108572.0,30184042.26,30.18
1132588.0,132337.0,36790936.89,36.79
1132471.0,490.0,136224.63,0.14
1132117.0,71344.0,19834306.37,19.83
1133255.0,199275.0,55400333.61,55.4
1133263.0,118879.0,33049485.68,33.05
1133909.0,293657.0,81639421.74,81.64
1133917.0,151144.0,42019460.66,42.02
1134519.0,301686.0,83871559.63,83.87
1134527.0,201034.0,55889352.24,55.89
1134535.0,321195.0,89295246.04,89.3
1134543.0,126653.0,35210731.16,35.21
1134550.0,899292.0,250011676.4,250.01
1134568.0,889267.0,247224631.64,247.22
1134576.0,279480.0,77698081.73,77.7
1134584.0,48036.0,13354462.05,13.35
1134592.0,107758.0,29957742.56,29.96
1134600.0,86981.0,24181540.17,24.18
